,year_make_model_1,detail_url,vin,price_rating,vehicle_price,year_make_model_2,trim,location,mileage,exterior_color,interior_color,mpg,engine,transmission,drive_type,fuel_type,accident_check,usage,title,number_of_owners,date
0,2012 Nissan 370Z,https://penfed.truecar.com/used-cars-for-sale/listing/JN1AZ4FH1CM371067/2012-nissan-370z/,JN1AZ4FH1CM371067,Excellent Price,15541,2012 Nissan 370Z,Touring Roadster Auto,"Fort Worth, TX",79158,Black Cherry Metallic,Black,MPG18 cty / 25 hwy,3.7L V-6 Gas,Automatic,RWD,Gas,0,Personal or Rental Use,Clean,4,2020-03-18 09:59:23.072612
1,2011 Nissan 370Z,https://penfed.truecar.com/used-cars-for-sale/listing/JN1AZ4FHXBM360731/2011-nissan-370z/,JN1AZ4FHXBM360731,Excellent Price,10495,2011 Nissan 370Z,Touring Roadster Auto,"Laurel, MD",45866,Magnetic Black Metallic,Black,MPG18 cty / 25 hwy,3.7L V-6 Gas,Automatic,RWD,Gas,0,Personal or Rental Use,Salvaged,3,2020-03-18 09:59:23.072612
2,2010 Nissan 370Z,https://penfed.truecar.com/used-cars-for-sale/listing/JN1AZ4FH0AM304604/2010-nissan-370z/,JN1AZ4FH0AM304604,Great Price,12600,2010 Nissan 370Z,Touring Roadster Auto,"Hurst, TX",87155,Pearl White,Black,MPG18 cty / 25 hwy,3.7L V-6 Gas,Automatic,RWD,Gas,0,Personal or Rental Use,Clean,3,2020-03-18 09:59:23.072612
3,2010 Nissan 370Z,https://penfed.truecar.com/used-cars-for-sale/listing/JN1AZ4FH9AM300986/2010-nissan-370z/,JN1AZ4FH9AM300986,Great Price,14500,2010 Nissan 370Z,Touring Roadster Auto,"Conway, AR",71327,Pearl White,Black,MPG18 cty / 25 hwy,3.7L V-6 Gas,Automatic,RWD,Gas,0,Personal or Rental Use,Clean,4,2020-03-18 09:59:23.072612
4,2011 Nissan 370Z,https://penfed.truecar.com/used-cars-for-sale/listing/JN1AZ4FH7BM360587/2011-nissan-370z/,JN1AZ4FH7BM360587,Excellent Price,13999,2011 Nissan 370Z,Touring Roadster Auto,"Columbus, GA",75817,Magnetic Black Metallic,Black,MPG18 cty / 25 hwy,3.7L V-6 Gas,Automatic,RWD,Gas,0,Personal or Rental Use,Clean,3,2020-03-18 09:59:23.072612
5,2014 Nissan 370Z,https://penfed.truecar.com/used-cars-for-sale/listing/JN1AZ4FH5EM621137/2014-nissan-370z/,JN1AZ4FH5EM621137,Great Price,19541,2014 Nissan 370Z,Touring Roadster Auto,"Olive Branch, MS",48854,Magnetic Black Metallic,Black,MPG18 cty / 25 hwy,3.7L V-6 Gas,Automatic,RWD,Gas,0,Personal or Rental Use,Clean,1,2020-03-18 09:59:23.072612
6,2014 Nissan 370Z,https://penfed.truecar.com/used-cars-for-sale/listing/JN1AZ4FH5EM621073/2014-nissan-370z/,JN1AZ4FH5EM621073,Excellent Price,18499,2014 Nissan 370Z,Touring Roadster Auto,"Honolulu, HI",47450,Pearl White,Wine,MPG18 cty / 25 hwy,3.7L V-6 Gas,Automatic,RWD,Gas,0,Fleet or Mixed Use,Clean,2,2020-03-18 09:59:23.072612
7,2015 Nissan 370Z,https://penfed.truecar.com/used-cars-for-sale/listing/JN1AZ4FH4FM430553/2015-nissan-370z/,JN1AZ4FH4FM430553,Excellent Price,19000,2015 Nissan 370Z,Touring Sport Roadster Auto,"Macon, GA",57828,Solid Red,Black,MPG18 cty / 25 hwy,3.7L V-6 Gas,Automatic,RWD,Gas,1,Personal or Rental Use,Clean,2,2020-03-18 09:59:23.072612
8,2011 Nissan 370Z,https://penfed.truecar.com/used-cars-for-sale/listing/JN1AZ4FHXBM360311/2011-nissan-370z/,JN1AZ4FHXBM360311,Great Price,19995,2011 Nissan 370Z,Touring Roadster Auto,"Myrtle Beach, SC",21493,Gun Metallic,Black,MPG18 cty / 25 hwy,3.7L V-6 Gas,Automatic,RWD,Gas,0,Personal or Rental Use,Clean,1,2020-03-18 09:59:23.072612
9,2010 Nissan 370Z,https://penfed.truecar.com/used-cars-for-sale/listing/JN1AZ4FH4AM301379/2010-nissan-370z/,JN1AZ4FH4AM301379,Great Price,14541,2010 Nissan 370Z,Touring Roadster Auto,"Oklahoma City, OK",45581,Solid Red,Persimmon,MPG18 cty / 25 hwy,3.7L V-6 Gas,Automatic,RWD,Gas,0,Personal or Rental Use,Clean,1,2020-03-18 09:59:23.072612
10,2015 Nissan 370Z,https://penfed.truecar.com/used-cars-for-sale/listing/JN1AZ4FH5FM430187/2015-nissan-370z/,JN1AZ4FH5FM430187,Great Price,18499,2015 Nissan 370Z,Touring Roadster Auto,"Atlanta, GA",61393,Brilliant Silver Metallic,Gray,MPG18 cty / 25 hwy,3.7L V-6 Gas,Automatic,RWD,Gas,1,Personal or Rental Use,Clean,1,2020-03-18 09:59:23.072612
11,2012 Nissan 370Z,https://penfed.truecar.com/used-cars-for-sale/listing/JN1AZ4FH0CM370931/2012-nissan-370z/,JN1AZ4FH0CM370931,Great Price,17310,2012 Nissan 370Z,Touring Roadster Auto,"Raleigh, NC",57451,Brilliant Silver Metallic,Black,MPG18 cty / 25 hwy,3.7L V-6 Gas,Automatic,RWD,Gas,0,Fleet or Mixed Use,Clean,3,2020-03-18 09:59:23.072612
12,2014 Nissan 370Z,https://penfed.truecar.com/used-cars-for-sale/listing/JN1AZ4FH8EM620533/2014-nissan-370z/,JN1AZ4FH8EM620533,Excellent Price,18200,2014 Nissan 370Z,Touring Roadster Auto,"Phoenix, AZ",25372,Pearl White,Black,MPG18 cty / 25 hwy,3.7L V-6 Gas,Automatic,RWD,Gas,0,Personal or Rental Use,Clean,2,2020-03-18 09:59:23.072612
13,2010 Nissan 370Z,https://penfed.truecar.com/used-cars-for-sale/listing/JN1AZ4FH3AM302667/2010-nissan-370z/,JN1AZ4FH3AM302667,Great Price,10800,2010 Nissan 370Z,Base Roadster Auto,"Kissimmee, FL",96240,Magnetic Black Metallic,Black,MPG18 cty / 25 hwy,3.7L V-6 Gas,Automatic,RWD,Gas,0,Personal or Rental Use,Clean,4,2020-03-18 09:59:23.072612
14,2011 Nissan 370Z,https://penfed.truecar.com/used-cars-for-sale/listing/JN1AZ4FH2BM360237/2011-nissan-370z/,JN1AZ4FH2BM360237,Great Price,12995,2011 Nissan 370Z,Base Roadster Auto,"Tampa, FL",84085,Solid Red,Black,MPG18 cty / 25 hwy,3.7L V-6 Gas,Automatic,RWD,Gas,1,Fleet or Mixed Use,Clean,3,2020-03-18 09:59:23.072612
15,2012 Nissan 370Z,https://penfed.truecar.com/used-cars-for-sale/listing/JN1AZ4FHXCM370757/2012-nissan-370z/,JN1AZ4FHXCM370757,Great Price,13550,2012 Nissan 370Z,Base Roadster Auto,"Newport News, VA",44003,Pearl White,Black,MPG18 cty / 25 hwy,3.7L V-6 Gas,Automatic,RWD,Gas,0,Personal or Rental Use,Lemon,2,2020-03-18 09:59:23.072612
16,2010 Nissan 370Z,https://penfed.truecar.com/used-cars-for-sale/listing/JN1AZ4FH3AM303589/2010-nissan-370z/,JN1AZ4FH3AM303589,Great Price,15905,2010 Nissan 370Z,Touring Roadster Auto,"Williamsburg, VA",57002,Platinum Graphite Metallic,Black,MPG18 cty / 25 hwy,3.7L V-6 Gas,Automatic,RWD,Gas,0,Personal or Rental Use,Clean,2,2020-03-18 09:59:23.072612
17,2014 Nissan 370Z,https://penfed.truecar.com/used-cars-for-sale/listing/JN1AZ4FH4EM620612/2014-nissan-370z/,JN1AZ4FH4EM620612,Excellent Price,19100,2014 Nissan 370Z,Touring Roadster Auto,"Granbury, TX",64728,Brilliant Silver Metallic,Black,MPG18 cty / 25 hwy,3.7L V-6 Gas,Automatic,RWD,Gas,0,Personal or Rental Use,Clean,2,2020-03-18 09:59:23.072612
18,2010 Nissan 370Z,https://penfed.truecar.com/used-cars-for-sale/listing/JN1AZ4FH8AM303426/2010-nissan-370z/,JN1AZ4FH8AM303426,Great Price,14741,2010 Nissan 370Z,Touring Roadster Auto,"Olive Branch, MS",69931,Platinum Graphite Metallic,Black,MPG18 cty / 25 hwy,3.7L V-6 Gas,Automatic,RWD,Gas,0,Personal or Rental Use,Clean,3,2020-03-18 09:59:23.072612
19,2014 Nissan 370Z,https://penfed.truecar.com/used-cars-for-sale/listing/JN1AZ4FHXEM620792/2014-nissan-370z/,JN1AZ4FHXEM620792,Great Price,17500,2014 Nissan 370Z,Base Roadster Auto,"Phoenix, AZ",43568,Gun Metallic,Black,MPG18 cty / 25 hwy,3.7L V-6 Gas,Automatic,RWD,Gas,0,Fleet or Mixed Use,Clean,2,2020-03-18 09:59:23.072612
20,2014 Nissan 370Z,https://penfed.truecar.com/used-cars-for-sale/listing/JN1AZ4FH7EM620409/2014-nissan-370z/,JN1AZ4FH7EM620409,Great Price,19500,2014 Nissan 370Z,Touring Roadster Auto,"Aurora, IL",49110,Magma Red Metallic,Black,MPG18 cty / 25 hwy,3.7L V-6 Gas,Automatic,RWD,Gas,2,Personal or Rental Use,Clean,2,2020-03-18 09:59:23.072612
