,year_make_model_1,detail_url,vin,price_rating,vehicle_price,year_make_model_2,trim,location,mileage,exterior_color,interior_color,mpg,engine,transmission,drive_type,fuel_type,accident_check,usage,title,number_of_owners,date
0,2016 BMW Z4,https://penfed.truecar.com/used-cars-for-sale/listing/WBALL5C54G5A20645/2016-bmw-z4/,WBALL5C54G5A20645,Excellent Price,19995,2016 BMW Z4,sDrive28i,"Van Nuys, CA",65532,Jet Black,Black/Orange,MPG22 cty / 34 hwy,2.0L Inline-4 Gas Turbocharged,Automatic,RWD,Gas,0,Personal or Rental Use,Clean,2,2020-03-29 20:02:44.289429
1,2012 BMW Z4,https://penfed.truecar.com/used-cars-for-sale/listing/WBALL5C55CJ103094/2012-bmw-z4/,WBALL5C55CJ103094,Excellent Price,14999,2012 BMW Z4,Roadster sDrive28i,"Canton, GA",85001,Melbourne Red Metallic,Black,MPG23 cty / 34 hwy,2.0L Inline-4 Gas Turbocharged,Automatic,RWD,Gas,0,Personal or Rental Use,Clean,2,2020-03-29 20:02:44.289429
2,2014 BMW Z4,https://penfed.truecar.com/used-cars-for-sale/listing/WBALL5C53EJ105252/2014-bmw-z4/,WBALL5C53EJ105252,Great Price,18500,2014 BMW Z4,sDrive28i,"Burbank, CA",32820,Deep Sea Blue Metallic,Black,MPG22 cty / 34 hwy,2.0L Inline-4 Gas Turbocharged,Automatic,RWD,Gas,2,Personal or Rental Use,Clean,1,2020-03-29 20:02:44.289429
3,2011 BMW Z4,https://penfed.truecar.com/used-cars-for-sale/listing/WBALM5C5XBE379534/2011-bmw-z4/,WBALM5C5XBE379534,Great Price,18987,2011 BMW Z4,Roadster sDrive30i,"St. Louis, MO",38461,Melbourne Red Metallic,Black,MPG18 cty / 28 hwy,3.0L Inline-6 Gas,Automatic,RWD,Gas,0,Personal or Rental Use,Clean,2,2020-03-29 20:02:44.289429
4,2011 BMW Z4,https://penfed.truecar.com/used-cars-for-sale/listing/WBALM5C57BE379765/2011-bmw-z4/,WBALM5C57BE379765,Great Price,18599,2011 BMW Z4,Roadster sDrive30i,"Frederick, MD",37735,Space Grey Metallic,Black,MPG18 cty / 28 hwy,3.0L Inline-6 Gas,Automatic,RWD,Gas,1,Personal or Rental Use,Clean,2,2020-03-29 20:02:44.289429
5,2012 BMW Z4,https://penfed.truecar.com/used-cars-for-sale/listing/WBALL5C59CE716585/2012-bmw-z4/,WBALL5C59CE716585,Excellent Price,16999,2012 BMW Z4,Roadster sDrive28i,"Lakewood, WA",37321,Gold,Beige,MPG23 cty / 34 hwy,2.0L Inline-4 Gas Turbocharged,Automatic,RWD,Gas,0,Personal or Rental Use,Clean,1,2020-03-29 20:02:44.289429
6,2013 BMW Z4,https://penfed.truecar.com/used-cars-for-sale/listing/WBALL5C58DJ104029/2013-bmw-z4/,WBALL5C58DJ104029,Great Price,16995,2013 BMW Z4,Roadster sDrive28i,"Fredricksburg, VA",61966,Gold,Unknown,MPG22 cty / 34 hwy,2.0L Inline-4 Gas Turbocharged,Automatic,RWD,Gas,0,Personal or Rental Use,Clean,2,2020-03-29 20:02:44.289429
7,2011 BMW Z4,https://penfed.truecar.com/used-cars-for-sale/listing/WBALM7C52BE382584/2011-bmw-z4/,WBALM7C52BE382584,Great Price,18900,2011 BMW Z4,Roadster sDrive35i,"Honolulu, HI",57563,Alpine White,Black,MPG19 cty / 26 hwy,3.0L Inline-6 Gas Turbocharged,Automatic,RWD,Gas,0,Personal or Rental Use,Clean,3,2020-03-29 20:02:44.289429
8,2012 BMW Z4,https://penfed.truecar.com/used-cars-for-sale/listing/WBALM1C59CE633812/2012-bmw-z4/,WBALM1C59CE633812,Great Price,19997,2012 BMW Z4,Roadster sDrive35is,"Wilmington, NC",64530,Space Grey Metallic,Unknown,MPG17 cty / 24 hwy,3.0L Inline-6 Gas Turbocharged,Automatic,RWD,Gas,1,Fleet or Mixed Use,Clean,4,2020-03-29 20:02:44.289429
9,2013 BMW Z4,https://penfed.truecar.com/used-cars-for-sale/listing/WBALL5C52DJ104821/2013-bmw-z4/,WBALL5C52DJ104821,Great Price,11999,2013 BMW Z4,Roadster sDrive28i,"Miami, FL",87778,Jet Black,Black,MPG22 cty / 34 hwy,2.0L Inline-4 Gas Turbocharged,Automatic,RWD,Gas,1,Fleet or Mixed Use,Clean,3,2020-03-29 20:02:44.289429
